SRO_CODE,SRO_NAME
510,VEGESWARAPURAM
1114,VEMPALLY
915,VENKATAGIRI
213,VIJAYANAGARAM (WEST)
627,VIJAYAWADA
916,VINJAMUR
730,VINUKONDA
311,VISAKHAPATNAM(R.O)
626,VISSANNAPET
212,VIZIANAGARAM (R.O)
623,VUYYURU
1219,YADIKI
310,YELAMANCHILI
1320,YEMMIGANUR
817,YERRAGONDAPALEM
